8806,8270,1602
5622,2571,2603
2655,3002,2993
6842,5681,9468
2769,589,6585
2544,5958,2129
4392,1851,453
8680,7974,7410
157,3237,2193
5396,5881,2435
6131,9632,851
65,28,2068
3555,8654,2702
4644,7605,6701
1144,9267,8296
9189,9578,689
4594,88,1975
257,7265,8414
7401,8374,6700
1069,3102,8570
6152,983,6383
3178,4439,9376
5874,5825,6699
507,2517,9343
9161,1584,2475
9701,8920,956
1572,7344,1656
4852,7380,6480
6095,7031,4293
9268,6334,336
5368,5732,4355
5349,551,6507
2488,8303,7286
6414,8712,5542
2680,1613,2738
8280,9806,1141
9638,5605,9018
6720,6860,7610
3650,10,8068
9241,8303,1120
4216,5249,3765
5079,7533,79
5965,3239,2536
4945,3022,1122
894,3522,4939
7636,3380,2583
1958,3608,9909
6597,5505,1989
3666,6253,453
9860,3,3734
8252,9711,4652
5381,3912,7943
7531,8955,8855
7874,1485,2826
286,1439,352
2629,1922,4631
4323,2452,3541
4610,3114,9329
5214,3843,5486
290,9377,978
625,1635,8062
995,7775,1999
5382,8008,5680
6251,5399,1552
6026,6687,9160
6730,5843,6786
9472,2442,8515
1153,5873,3367
6648,4507,674
8286,5108,3980
8363,551,417
6468,2585,9650
2997,4499,3169
7693,9424,3972
4353,9285,5442
243,2626,9510
746,5420,1290
1730,9465,6146
9054,3930,4868
9224,5716,5739
7144,3167,8294
4135,6008,989
4883,9727,1074
9702,1247,4347
7857,5930,3067
8214,2123,6667
4111,3352,9722
5593,4308,2481
9031,4187,9614
1727,7394,6860
5414,7741,174
8576,6022,5320
9962,7298,9614
8302,251,9355
2596,901,1892
8865,471,9910
4184,1978,2516
6996,742,3723
8385,8317,3730
5809,279,3724
4725,2923,8526
3895,6379,4690
4960,7916,8746
6519,3551,3123
5474,7799,370
3632,3488,7581
762,2073,3228
8452,1940,142
9859,9687,6615
4761,2447,7912
7996,2003,4625
6889,5166,4655
8161,3210,4935
5336,572,9183
8426,4195,2764
5949,8383,1552
182,2530,2296
5091,7869,9054
8883,9097,4996
5105,8056,7769
9952,3842,8674
9896,411,1866
6842,7993,501
1147,2191,9791
3429,4112,4546
8416,9230,4626
1774,5737,9757
7075,7989,3400
3198,1067,6981
3162,9774,9405
5801,8929,1834
2534,5596,7201
4599,5665,8216
1911,3819,6329
2429,1382,969
8940,4045,3568
1882,3256,2403
6638,214,598
8228,892,4259
7920,7326,52
9060,79,7342
1989,5234,6885
3598,7807,8920
2532,5674,3550
9992,8361,4803
3361,6827,9273
2189,6294,8582
4278,5379,4036
7048,7757,3531
9236,1823,4800
4435,2876,7259
2603,1210,2281
3690,8629,4348
2777,643,2501
5877,3187,7806
3342,7207,4579
576,6521,3735
4966,4948,6557
305,6734,8661
7246,5116,8482
6760,703,8871
6150,1974,9957
9571,1122,3336
4073,1723,5953
7963,3305,7469
8601,7107,7821
7917,1762,907
3681,4639,2772
9754,9924,3665
7729,7185,5755
5227,3292,7521
1442,9039,3493
5946,9920,3435
4995,366,4566
5709,3948,7237
4501,1814,564
4265,25,2167
7071,1649,4261
2456,8516,5466
5196,2280,5473
5697,6025,5374
5909,7166,8268
9630,5998,587
5746,2071,528
4450,7967,57
558,6452,3067
7844,8696,6213
2086,4283,5633
4885,9961,4807
9403,9978,1547
1545,481,6233
924,663,3121
2691,1922,4776
7813,4268,8125
314,2493,3415
7417,7376,8378
4189,4192,4986
7625,4044,4265
2716,4570,1372
8929,6528,1532
6061,5844,4744
54,6908,792
3947,5253,2820
3239,5025,5229
321,8775,2090
2190,4816,7463
2712,9189,2243
